,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
284,c:\2020\ecospeclib\mineral.silicate.nesosilicate.coarse.tir.topaz_3.jhu.nicolet.spectrum.txt, topaz_3,Nic4,FALSE,z, nesosilicate,"al2sio4(f,oh)2", jhu,other-aloh,topaz
285,c:\2020\ecospeclib\mineral.silicate.nesosilicate.coarse.tir.topaz_4.jhu.nicolet.spectrum.txt, topaz_4,Nic4,FALSE,z, nesosilicate,"al2sio4(f,oh)2", jhu,other-aloh,topaz
286,c:\2020\ecospeclib\mineral.silicate.nesosilicate.fine.tir.topaz_4.jhu.nicolet.spectrum.txt, topaz_4,Nic4,FALSE,z, nesosilicate,"al2sio4(f,oh)2", jhu,other-aloh,topaz
287,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.almandine_1.jhu.nicolet.spectrum.txt, almandine_1,Nic4,FALSE,z, nesosilicate,fe3+2al2(sio4)3, jhu,garnet,almandine
288,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.andalusite_1.jhu.nicolet.spectrum.txt, andalusite_1,Nic4,FALSE,z, nesosilicate,al2sio5, jhu,andalusite,andalusite
289,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.andradite_1.jhu.nicolet.spectrum.txt, andradite_1,Nic4,FALSE,z, nesosilicate,(sio4)3, jhu,garnet,andradite
290,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.datolite_1.jhu.nicolet.spectrum.txt, datolite_1,Nic4,FALSE,z, nesosilicate,cabsio4(oh), jhu,misc-silicate,datolite
291,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.grossul_2.jhu.nicolet.spectrum.txt, grossul_2,Nic4,FALSE,z, nesosilicate,ca3al2(si04)3, jhu,garnet,grossular
292,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.kyanite_1.jhu.nicolet.spectrum.txt, kyanite_1,Nic4,FALSE,z, nesosilicate,al2sio5, jhu,kyanite,kyanite
293,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.monticell_1.jhu.nicolet.spectrum.txt, monticell_1,Nic4,FALSE,z, nesosilicate,camgsio4, jhu,olivine,monticellite
294,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.olivine_11.jhu.nicolet.spectrum.txt, olivine_11,Nic4,FALSE,z, nesosilicate,"(fe+2,mg)2sio4", jhu,olivine,olivine
295,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.olivine_12.jhu.nicolet.spectrum.txt, olivine_12,Nic4,FALSE,z, nesosilicate,"(fe+2,mg)2sio4", jhu,olivine,olivine
296,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.olivine_13.jhu.nicolet.spectrum.txt, olivine_13,Nic4,FALSE,z, nesosilicate,"(fe+2,mg)2sio4", jhu,olivine,olivine
297,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.pyrope_1.jhu.nicolet.spectrum.txt, pyrope_1,Nic4,FALSE,z, nesosilicate,mg3al2(sio4)3, jhu,garnet,pyrope
298,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.spessart_2.jhu.nicolet.spectrum.txt, spessart_2,Nic4,FALSE,z, nesosilicate,(sio4)3, jhu,garnet,spessartine
299,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.staurol_1.jhu.nicolet.spectrum.txt, staurol_1,Nic4,FALSE,z, nesosilicate,"(fe+2,mg,zn)2al9(si,al)4o22(oh)2", jhu,misc-silicate,staurolite
300,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.topaz_1.jhu.nicolet.spectrum.txt, topaz_1,Nic4,FALSE,z, nesosilicate,"al2sio4(f,oh)2", jhu,other-aloh,topaz
301,c:\2020\ecospeclib\mineral.silicate.nesosilicate.solid.tir.topaz_2.jhu.nicolet.spectrum.txt, topaz_2,Nic4,FALSE,z, nesosilicate,"al2sio4(f,oh)2", jhu,other-aloh,topaz
302,c:\2020\ecospeclib\mineral.silicate.none.coarse.tir.zoisite_1.jhu.nicolet.spectrum.txt, zoisite_1,Nic4,FALSE,z, none,na, jhu,epidote,zoisite
303,c:\2020\ecospeclib\mineral.silicate.none.solid.tir.zoisite_1.jhu.nicolet.spectrum.txt, zoisite_1,Nic4,FALSE,z, none,na, jhu,epidote,zoisite
304,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.antigorite_1.jhu.nicolet.spectrum.txt, antigorite_1,Nic4,FALSE,z, phyllosilicate,na, jhu.,serpentine,antigorite
305,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.biotite_1.jhu.nicolet.spectrum.txt, biotite_1,Nic4,FALSE,z, phyllosilicate,"k(mg,fe+2)3(al,fe+3)si3o10(oh,f)2", jhu,dark-mica,biotite
306,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.biotite_2.jhu.nicolet.spectrum.txt, biotite_2,Nic4,FALSE,z, phyllosilicate,"k(mg,fe+2)3(al,fe+3)si3o10(oh,f)2", jhu,dark-mica,biotite
307,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.chrysotile_1.jhu.nicolet.spectrum.txt, chrysotile_1,Nic4,FALSE,z, phyllosilicate,mg3si2o5(oh)4, jhu,serpentine,chrysotile
308,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.clinochlore_1.jhu.nicolet.spectrum.txt, clinochlore_1,Nic4,FALSE,z, phyllosilicate,"(mg,fe+2)5al(si3al)o10(oh)8", jhu,chlorite,clinochlore
309,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.clinochl_2.jhu.nicolet.spectrum.txt, clinochl_2,Nic4,FALSE,z, phyllosilicate,"(fe+2,mg)5al(si3al)o10(oh)8", jhu,chlorite,clinochlore
310,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.illite_1.jhu.nicolet.spectrum.txt, illite_1,Nic4,FALSE,z, phyllosilicate,"(k,h3o)(al,mg,fe)2(si,al)4o10[(oh)2,h2o]", jhu,white-mica,illite
311,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.illsmec_1.jhu.nicolet.spectrum.txt, illsmec_1,Nic4,FALSE,z, phyllosilicate,na, jhu,white-mica,illite
312,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.kaolinite_2.jhu.nicolet.spectrum.txt, kaolinite_2,Nic4,FALSE,z, phyllosilicate,al2si2o5(oh)4, jhu,kaolin,kaolinite
313,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.tir.kaolinite_3.jhu.nicolet.spectrum.txt, kaolinite_3,Nic4,FALSE,z, phyllosilicate,al2si2o5(oh)4, jhu,kaolin,kaolinite
