,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
160,none,212,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,spodumene
161,none,212,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,spodumene
162,none,178,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,staurolite
163,none,77,unknown,unknown,unknown,unknown,unknown,unknown,dark-mica,stilpnomelane
164,none,111,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,strontianite
165,none,100,unknown,unknown,unknown,unknown,unknown,unknown,other-mgoh,talc
166,none,100,unknown,unknown,unknown,unknown,unknown,unknown,other-mgoh,talc
167,none,46,unknown,unknown,unknown,unknown,unknown,unknown,zeolite,thomsonite
168,none,70,unknown,unknown,unknown,unknown,unknown,unknown,other-aloh,topaz
169,none,105,unknown,unknown,unknown,unknown,unknown,unknown,tourmaline,tourmaline
170,none,21,unknown,unknown,unknown,unknown,unknown,unknown,garnet,uvarovite
171,none,38,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,vesuvianite
172,none,132,unknown,unknown,unknown,unknown,unknown,unknown,borate,vonsenite
173,none,112,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,witherite
174,none,177,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,wollastonite
175,none,177,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,wollastonite
176,none,9,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,zircon
177,none,103,unknown,unknown,unknown,unknown,unknown,unknown,epidote,zoisite
