index,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
63,Malachite_HS254.4B_ASDFRb_AREF.txt," hs254.1b, hs254.2b, hs254.3b, hs254.4b",ASDFR,FALSE,b, carbonate, Cu2CO3(OH)2, usgs denver spectroscopy laboratory,carbonate,malachite
64,Parisite_REE_WS319_crystal_ASDFRa_AREF.txt, ws319 crystal,ASDFR,FALSE,a, carbonate-fluoride," Ca(Ce,La)2(CO3)3F2", usgs denver spectroscopy laboratory,carbonate,parisite
65,c:\2020\ecospeclib\mineral.carbonate.none.coarse.vswir.c-8a.jpl.perkin.spectrum.txt, c-8a,Perk,FALSE,z, none,mnco_3, jpl,carbonate,rhodochrosite
66,c:\2020\ecospeclib\mineral.carbonate.none.medium.vswir.c-8a.jpl.perkin.spectrum.txt, c-8a,Perk,FALSE,z, none,mnco_3, jpl,carbonate,rhodochrosite
67,Rhodochrosite_HS338.6_ASDFRb_AREF.txt," hs338.3b, hs338.6",ASDFR,FALSE,b, carbonate, MnCO3, usgs denver spectroscopy laboratory,carbonate,rhodochrosite
68,Siderite_HS271.3B_ASDFRa_AREF.txt," hs271.1b, hs271.2b, hs271.3b, hs271.4b",ASDFR,FALSE,a, carbonate, FeCO3, usgs denver spectroscopy laboratory,carbonate,siderite
69,Siderite_HS271.3B_ASDNGa_AREF.txt," hs271.1b, hs271.2b, hs271.3b, hs271.4b",ASDNG,FALSE,a, carbonate, FeCO3, usgs denver spectroscopy laboratory,carbonate,siderite
70,Siderite_HS271.4B_ASDFRa_AREF.txt," hs271.1b, hs271.2b, hs271.3b, hs271.4b",ASDFR,FALSE,a, carbonate, FeCO3, usgs denver spectroscopy laboratory,carbonate,siderite
71,c:\2020\ecospeclib\mineral.carbonate.none.coarse.vswir.c-11a.jpl.perkin.spectrum.txt, c-11a,Perk,FALSE,z, none,pbco_3, jpl,carbonate,smithsonite
72,c:\2020\ecospeclib\mineral.carbonate.none.medium.vswir.c-11a.jpl.perkin.spectrum.txt, c-11a,Perk,FALSE,z, none,pbco_3, jpl,carbonate,smithsonite
73,c:\2020\ecospeclib\mineral.carbonate.none.coarse.vswir.c-1a.jpl.perkin.spectrum.txt, c-1a,Perk,FALSE,z, none,srco_3, jpl,carbonate,strontianite
74,c:\2020\ecospeclib\mineral.carbonate.none.medium.vswir.c-1a.jpl.perkin.spectrum.txt, c-1a,Perk,FALSE,z, none,srco_3, jpl,carbonate,strontianite
75,Strontianite_HS272.2B_ASDFRb_AREF.txt," hs272.1b, hs272.2b, hs272.3b, hs272.4b",ASDFR,TRUE,b, carbonate, SrCO3, usgs denver spectroscopy laboratory,carbonate,strontianite
76,Strontianite_HS272.3B_ASDFRb_AREF.txt," hs272.1b, hs272.2b, hs272.3b, hs272.4b",ASDFR,TRUE,b, carbonate, SrCO3, usgs denver spectroscopy laboratory,carbonate,strontianite
77,Strontianite_HS272.4B_ASDFRb_AREF.txt," hs272.1b, hs272.2b, hs272.3b, hs272.4b",ASDFR,TRUE,b, carbonate, SrCO3, usgs denver spectroscopy laboratory,carbonate,strontianite
78,c:\2020\ecospeclib\mineral.carbonate.none.coarse.vswir.c-2a.jpl.perkin.spectrum.txt, c-2a,Perk,FALSE,z, none,baco_3, jpl,carbonate,witherite
79,c:\2020\ecospeclib\mineral.carbonate.none.medium.vswir.c-2a.jpl.perkin.spectrum.txt, c-2a,Perk,FALSE,z, none,baco_3, jpl,carbonate,witherite
80,Witherite_HS273.2B_ASDFRa_AREF.txt," hs273.1b, hs273.2b, hs273.3b, hs273.4b",ASDFR,FALSE,a, carbonate, BaCO3, usgs denver spectroscopy laboratory,carbonate,witherite
81,Witherite_HS273.3B_ASDFRa_AREF.txt," hs273.1b, hs273.2b, hs273.3b, hs273.4b",ASDFR,FALSE,a, carbonate, BaCO3, usgs denver spectroscopy laboratory,carbonate,witherite
82,Witherite_HS273.4B_ASDFRa_AREF.txt," hs273.1b, hs273.2b, hs273.3b, hs273.4b",ASDFR,FALSE,a, carbonate, BaCO3, usgs denver spectroscopy laboratory,carbonate,witherite
83,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.vswir.ps-12c.jpl.perkin.spectrum.txt, ps-12c,Perk,FALSE,z, phyllosilicate,"(mg,al)_6(si,al)_4o_10(oh)_8", jpl,chlorite,chlorite
84,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.vswir.ps-12e.jpl.perkin.spectrum.txt, ps-12e,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
85,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.coarse.vswir.ps-12f.jpl.perkin.spectrum.txt, ps-12f,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
86,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-12c.jpl.perkin.spectrum.txt, ps-12c,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
87,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-12e.jpl.perkin.spectrum.txt, ps-12e,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
88,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-12f.jpl.perkin.spectrum.txt, ps-12f,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
89,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-12c.jpl.perkin.spectrum.txt, ps-12c,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
90,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-12e.jpl.perkin.spectrum.txt, ps-12e,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
91,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-12f.jpl.perkin.spectrum.txt, ps-12f,Perk,FALSE,z, phyllosilicate,na, jpl,chlorite,chlorite
92,Chlorite_HS179.1B_ASDFRb_AREF.txt," hs179.1b, hs179.2b, hs179.3b, hs179.4b, hs179.6",ASDFR,FALSE,b, phyllosilicate," (Mg,Fe)3(Si,Al)4O10(OH)2-(Mg,Fe)3(OH)6", usgs denver spectroscopy laboratory,chlorite,chlorite
93,Chlorite_HS179.2B_ASDFRb_AREF.txt," hs179.1b, hs179.2b, hs179.3b, hs179.4b, hs179.6",ASDFR,FALSE,b, phyllosilicate," (Mg,Fe)3(Si,Al)4O10(OH)2-(Mg,Fe)3(OH)6", usgs denver spectroscopy laboratory,chlorite,chlorite
94,Chlorite_HS179.3B_ASDFRb_AREF.txt," hs179.1b, hs179.2b, hs179.3b, hs179.4b, hs179.6",ASDFR,FALSE,b, phyllosilicate," (Mg,Fe)3(Si,Al)4O10(OH)2-(Mg,Fe)3(OH)6", usgs denver spectroscopy laboratory,chlorite,chlorite
95,Chlorite_HS179.4B_ASDFRb_AREF.txt," hs179.1b, hs179.2b, hs179.3b, hs179.4b, hs179.6",ASDFR,FALSE,b, phyllosilicate," (Mg,Fe)3(Si,Al)4O10(OH)2-(Mg,Fe)3(OH)6", usgs denver spectroscopy laboratory,chlorite,chlorite
96,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.fine.vswir.ps-12a.jpl.perkin.spectrum.txt, ps-12a,Perk,FALSE,z, phyllosilicate,"(mg,al)_6(si,al)_4o_10(oh)_8", jpl,chlorite,chlorite
97,c:\2020\ecospeclib\mineral.silicate.phyllosilicate.medium.vswir.ps-12a.jpl.perkin.spectrum.txt, ps-12a,Perk,FALSE,z, phyllosilicate,"(mg,al)_6(si,al)_4o_10(oh)_8", jpl,chlorite,chlorite
98,Clinochlore_GDS158_Flagstaff_ASDNGb_AREF.txt, gds158,ASDNG,FALSE,b, phyllosilicate," (Mg,Fe2+)5Al((Si3Al)O10(OH)8", usgs denver spectroscopy laboratory,chlorite,chlorite
